"year","education_level","median_income"
"2012","<9th Grade",22496
"2012","9-12th (No Diploma)",23347
"2012","High School Graduate",39845
"2012","Some College (No Degree)",48987
"2012","Associate Degree",57460
"2012","Bachelor's Degree",80549
"2012","Master's Degree",92362
"2012","Professional Degree",129588
"2012","Doctorate Degree",116983
"2013","<9th Grade",23933
"2013","9-12th (No Diploma)",24478
"2013","High School Graduate",41146
"2013","Some College (No Degree)",51055
"2013","Associate Degree",59452
"2013","Bachelor's Degree",82467
"2013","Master's Degree",95120
"2013","Professional Degree",118428
"2013","Doctorate Degree",121649
"2014","<9th Grade",24347
"2014","9-12th (No Diploma)",25535
"2014","High School Graduate",41427
"2014","Some College (No Degree)",50640
"2014","Associate Degree",59710
"2014","Bachelor's Degree",82758
"2014","Master's Degree",100838
"2014","Professional Degree",134020
"2014","Doctorate Degree",121583
"2015","<9th Grade",26252
"2015","9-12th (No Diploma)",26356
"2015","High School Graduate",42047
"2015","Some College (No Degree)",51906
"2015","Associate Degree",62485
"2015","Bachelor's Degree",87991
"2015","Master's Degree",101323
"2015","Professional Degree",136640
"2015","Doctorate Degree",121244
"2016","<9th Grade",26979
"2016","9-12th (No Diploma)",28372
"2016","High School Graduate",43331
"2016","Some College (No Degree)",54163
"2016","Associate Degree",62809
"2016","Bachelor's Degree",90268
"2016","Master's Degree",102445
"2016","Professional Degree",136015
"2016","Doctorate Degree",130136
"2017","<9th Grade",26695
"2017","9-12th (No Diploma)",30353
"2017","High School Graduate",44801
"2017","Some College (No Degree)",55443
"2017","Associate Degree",64232
"2017","Bachelor's Degree",91531
"2017","Master's Degree",108024
"2017","Professional Degree",150260
"2017","Doctorate Degree",142400
"2018","<9th Grade",26875
"2018","9-12th (No Diploma)",29204
"2018","High School Graduate",46073
"2018","Some College (No Degree)",57807
"2018","Associate Degree",65647
"2018","Bachelor's Degree",93533
"2018","Master's Degree",110252
"2018","Professional Degree",160007
"2018","Doctorate Degree",135196
"2019","<9th Grade",30355
"2019","9-12th (No Diploma)",31326
"2019","High School Graduate",48708
"2019","Some College (No Degree)",61911
"2019","Associate Degree",69573
"2019","Bachelor's Degree",100164
"2019","Master's Degree",117439
"2019","Professional Degree",162127
"2019","Doctorate Degree",142347
"2020","<9th Grade",29609
"2020","9-12th (No Diploma)",29520
"2020","High School Graduate",47405
"2020","Some College (No Degree)",60392
"2020","Associate Degree",68769
"2020","Bachelor's Degree",100128
"2020","Master's Degree",114900
"2020","Professional Degree",151560
"2020","Doctorate Degree",142493
"2021","<9th Grade",28294
"2021","9-12th (No Diploma)",31162
"2021","High School Graduate",50401
"2021","Some College (No Degree)",60980
"2021","Associate Degree",70450
"2021","Bachelor's Degree",105552
"2021","Master's Degree",124341
"2021","Professional Degree",154333
"2021","Doctorate Degree",162159
"2022","<9th Grade",33830
"2022","9-12th (No Diploma)",35470
"2022","High School Graduate",51470
"2022","Some College (No Degree)",64150
"2022","Associate Degree",74920
"2022","Bachelor's Degree",108800
"2022","Master's Degree",128000
"2022","Professional Degree",157800
"2022","Doctorate Degree",151400
"2023","<9th Grade",35690
"2023","9-12th (No Diploma)",37330
"2023","High School Graduate",55810
"2023","Some College (No Degree)",70470
"2023","Associate Degree",78620
"2023","Bachelor's Degree",117600
"2023","Master's Degree",136500
"2023","Professional Degree",172100
"2023","Doctorate Degree",170900
